rcp_name,rcp_way,rcp_pat,weight,kcal,carbohydrate,protein,fat,natrium,tag,img,ingredients,MANUAL01,MANUAL_IMG01,MANUAL02,MANUAL_IMG02,MANUAL03,MANUAL_IMG03,MANUAL04,MANUAL_IMG04,MANUAL05,MANUAL_IMG05,MANUAL06,MANUAL_IMG06,RCP_NA_TIP
표고버섯 청경채국,끓이기,국&찌개,,45,7,2,1,2441,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00038_1.png,"멸치육수 : 국물용 멸치 5g(3마리), 다시마 1장(5×1cm), 양파 10g(2×1cm), 표고버섯 기둥, 국간장 5g(1작은술), 물 300ml(1½컵) 채소준비 : 청경채 20g(1개), 표고버섯 20g(2장), 다진 마늘 2g(1/3작은술)","1. 찬물에 표고버섯,머리와 내장을 제거한 멸치, 다시마, 양파를 넣어 중간 불에서 10분 정도 끓여 멸치육수를 만든다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00038_1.png,"2. 육수의 표고버섯 기둥, 멸치, 다시마, 양파를 건진 후 표고버섯은 편으로 썰고 청경채는 4cm 크기로 썬다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00038_2.png,3. 끓는 육수에 준비한 표고버섯과 청경채를 넣고 국간장으로 간을 한 후 마늘을 넣어 한소끔 끓인다.,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00038_4.png,,,,,,,"표고버섯 밑둥을 육수에 넣어 감칠맛을 더하고, 멸치와 다시마는 다량의 소금 없이도 국물 맛을 깊게 만들어 주는 역할을 해요. 건표고버섯은 햇볕에 말리는 과정에서 만들어진 비타민 D가 풍부해 칼슘 흡수를 도와 골다공증 예방에 좋은 식품이예요. 생표고버섯에는 비타민 D가 거의 들어있지 않아요."
청국장 두부 검은깨 냉스프,끓이기,일품,,270,24,16,12,771,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00039_1.png,"냉스프 두부 120g(1/3모), 플레인요거트 70g(1개), 검은깨 8g(1⅔작은술) 고명 청국장가루 10g(1큰술)",1. 두부가 잠길 정도로 물을 부어 5~7분 정도 삶는다.a,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00039_1.png,"2. 삶은 두부와 플레인요거트, 검은깨 를 믹서에 넣고 간 다음 냉장고에 1시간 정도 보관한다.b",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00039_2.png,3. 차가워진 스프를 그릇에 담고 그 위에 청국장가루를 얹는다.c,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00039_3.png,,,,,,,스프에 소금 대신 청국장 가루를 넣어 나트륨 함량을 줄였어요. 청국장에 풍부한 바실러스균은 다른 유해한 세균을 제거하고 혈전을 용해하는 능력이 있어 암예방과 동맥경화 예방에 효과가 있어요.
호박 고구마 스프,끓이기,일품,,165,26,4,5,77,단호박,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00040_1.png,"호박고구마스프 고구마 70g(1/2개), 단호박 30g(4×6cm), 우유 100ml(1/2컵), 설탕 2g(1/3작은술), 물 50ml(1/4컵)",1. 고구마와 단호박을 찜기에 10~20분 동안 익힌 후 껍질을 제거하고 으깨어 체에 거른 다.,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00040_2.png,"2. 냄비에 고구마, 단호박, 우유, 설탕을 넣고 잘 저어주며 끓인다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00040_3.png,3. 스프의 농도를 보면서 물을 조금씩 넣어가며 걸쭉하게 끓여준다.,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00040_4.png,,,,,,,"단호박은 애호박에 비해 칼륨 함량이 2배 정도 많으며, 고구마 역시 칼륨 함량이 높아 나트륨 배설을 도와줘요. 지방의 섭취를 줄여야 하는 경우 우유 대신 저지방 우유를 사용해 보세요. 체 대신 믹서기를 이용할 때는 우유와 고구마, 단호박을 같이 넣으면 잘 갈려요."
불고기 소스를 곁들인 두부구이,굽기,반찬,,200,7,12,14,481,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00062_1.png,"두부구이 : 두부 70g(1/5모), 전분 10g(2작은술), 흑임자 2g(1/3작은술), 식용유 5g(1작은술), 후추약간 불고기 양념 : 간장 3g(2/3작은술), 올리고당 3g(2/3작은술), 생강즙 3g(2/3작은술), 물 30ml(2큰술)",1. 두부를 2.5×2.5×1cm 정도로 잘라 물기를 빼고 후추를 뿌린 후 전분가루를 골고루 묻혀 식용유를 둘러 프라이팬에 갈색이 나도록 양면을 굽는다.,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00062_2.png,"2. 프라이팬에 간장, 올리고당, 생강즙, 물을 넣어 끓여 불고기 양념을 만든 후 양념을 구운 두부에 넣고 졸인다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00062_4.png,3. 그릇에 두부를 담고 위에 흑임자를 뿌린다.,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00062_5.png,,,,,,,"두부는 칼슘, 칼륨과 철분 등이 풍부하여 나트륨 배출을 도와줘요. 두부에 전분을 묻혀서 구워주면 소스와의 흡착력이 강해져서 소량의 간장소스로도 요리 맛을 살리고 나트륨 섭취도 줄일 수 있어요."
돌나물 샐러드,기타,반찬,,235,2,3,24,151,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00074_1.png,"돌나물 샐러드 : 돌나물 90g, 미니새송이버섯 60g(7개), 참기름 약간 레몬마요네즈 소스 : 마요네즈 10g(2작은술), 레몬즙 20g(1⅓큰술), 청양고추 5g(1/2개), 홍고추 5g(1/2개), 참기름 약간",1. 청양고추와 홍고추를 다져서 참기름에 살짝 볶은 후 볶은 고추에 마요네즈와 레몬즙을 넣어 소스를 만든다.,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00074_1.png,2. 돌나물은 손질하여 찬물에 담구고 새송이버섯은 달군 프라이팬에 참기름을 두르고 노릇 하게 굽는다.,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00074_4.png,3. 돌나물은 물기를 빼고 구운 새송이버섯과 레몬마요네즈 소스를 넣고 버무려 접시에 담는다.,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00074_5.png,,,,,,,샐러드드레싱에 짠맛을 줄이기 위해 마요네즈 사용량을 줄이고 레몬즙과 청양고추를 혼합하여 드레싱을 만들면 짠맛을 줄이는 효과를 낼 수 있어요. 마요네즈 사용이 지나치면 나트륨과 콜레스테롤의 섭취가 높아지므로 주의하세요.
마늘드레싱을 곁들인 키위샐러드,기타,반찬,,350,36,13,17,59,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00077_1.png,"키위샐러드 : 키위 60g(1개), 방울토마토 100g(10개), 양상추 70g(2장), 아몬드 10g(6알), 땅콩 10g(10알), 무순 약간 마늘 드레싱 : 사과식초 30g(2큰술), 설탕 15g(1큰술), 물 50ml(1/4컵), 다진 마늘 5g(1작은술)","1. 그릇에 다진 마늘, 사과식초, 설탕, 물을 섞어 설탕이 녹을 때까지 저어 마늘 드레싱을 만든다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00077_1.png,"2. 양상추는 찬물에 담갔다가 물기를 빼서 한입 크기로 찢고, 무순은 손질하여 물기를 빼고, 방 울토마토는 꼭지를 떼고 반으로 자른다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00077_3.png,"3. 키위는 껍질을 벗기고 둥근 모양으로 썰고 그릇에 양상추, 방울토마토, 키위, 아몬드, 땅콩을 넣고 마늘 드레싱에 버무려 접시에 담아 무순을 곁들인다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00077_4.png,,,,,,,마늘드레싱은 기존의 나트륨 함량이 높은 샐러드 드레싱을 대신하여 사용하면 나트륨을 줄일 수 있을 뿐만 아니라 식전 애피타이저로 활용해도 좋아요.
깻잎향을 입힌 관자 샐러드,굽기,반찬,200,155,6,28,2,168,석류원액,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00078_1.png,"돌나물(10g), 깻잎(3장), 관자(5개) , 식용 꽃(약간) , 올리브유(60g), 석류 원액(3g), 레시틴가루(0.5), 후춧가루(약간)","1. 돌나물은 손질하여 찬물에 담갔다가 물기를 빼고, 깻잎은 씻어 한 장씩 앞뒤로 물기를 닦고, 식용 꽃은 찬물에 담가 놓는다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00078_1.jpg,2. 튀김 팬에 올리브유(50g)를 붓고 예열해 깻잎을 넣어 바삭하고 투명하게 튀긴 뒤 건지고 팬에 남은 깻잎 기름은 따로 둔다.,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00078_2.jpg,3. 석류 원액에 물(100ml)과 레시틴가루를 넣어 블렌더로 섞어 석류 거품을 만든다.,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00078_3.jpg,"4. 관자는 막을 제거한 뒤 찬물에 씻고, 잘게 칼집을 내 후춧가루를 뿌린다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00078_4.jpg,5. 달군 팬에 올리브유(10g)를 두르고 관자를 넣어 겉은 노릇하게 굽는다.,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00078_5.jpg,"6. 접시에 튀긴 깻잎, 돌나물, 구운 관자, 깻잎 기름을 순서대로 담고, 석류 거품을 올려 마무리한다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00078_6.jpg, 샐러드드레싱에 소금 대신 석류 원액과 깻잎을 사용해 새콤달콤한 맛과 향을 더하고 소금 사용량을 줄였어요.
건강그린 샐러드와 고소한 두유드레싱,기타,반찬,,150,16,3,8,201,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00082_1.png,"건강그린 샐러드 : 양상추 40g(1장), 치커리 10g(3줄기), 레드치커리 10g(3줄기), 방울토마토 40g(4개), 주황 파프리카 10g(5ⅹ3cm) 두유 드레싱 : 두유 40g(2⅔큰술), 마요네즈 15g(1큰술), 물엿 3g(2/3작은술), 식초 3g(2/3작은술), 물 15ml(1큰술), 설탕 약간","1. 두유, 마요네즈, 물엿, 식초, 설탕, 물을 잘 섞어서 두유 드레싱을 만든다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00082_1.png,"2. 양상추, 치커리, 레드치커리는 찬물에 담갔다가 물기를 빼서 한입 크기로 찢고 방울토마토는 꼭지를 떼고 반으로 자른다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00082_4.png,"3. 주황 파프리카는 얇게 채를 썰고 그릇에 양상추, 치커리, 레드치커리, 파프리카, 방울토마토를 담고 두유 드레싱을 곁들인다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00082_6.png,,,,,,,콩에 함유된 이소플라본은 여성호르몬인 에스트로겐과 유사한 역할을 하여 골다공증과 유방암을 예방하는 효과가 있어요. 콩에 풍부한 칼슘과 마그네슘은 나트륨을 효과적으로 배출하도록 도와주므로 콩이나 두유의 섭취를 늘려보세요.
케일 오미자 샐러드,기타,반찬,,60,13,2,0,80,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00085_1.png,"케일 샐러드 보라로즈케일 15g(3장), 흰로즈케일 15g(3장), 케일 15g(3장) 오미자 드레싱 오미자물 100g(1/2컵), 요리당 15g(1큰술), 식초 2g(1/2작은술)",1. 케일은 깨끗이 씻어 잎은한입 크기로 자르고 줄기는 잘게 다진다.a,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00085_1.png,"2. 오미자물, 요리당, 식초를 섞는다.b",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00085_2.png,3. (1)의 케일의 다진 줄기를 넣어 드레싱을 만든다.c,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00085_3.png,4. 그릇에 케일을 담고 오미자 드레싱을 끼얹는다.d,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00085_4.png,,,,,일반적인 샐러드드레싱에는 마요네즈나 기타 나트륨이 다량 함유된 제품들이 많이 있지만 오미자의 새콤달콤함을 활용하여 만든 드레싱은 소금을 첨가하지 않아도 감칠맛을 낼 수 있어요. 케일에는 섬유소가 많아 혈중 콜레스테롤을 감소시키고 동맥경화 예방에 도움이 되요.
스트로베리 샐러드,기타,반찬,,195,30,7,5,138,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00087_1.png,"스트로베리 샐러드 딸기 70g(7개), 플레인요거트 85g(1개), 양상추 70g(2장), 메추리알 30g(3개), 블루베리 15g(1큰술), 식초 약간, 소금 약간","1. 찬물이 담긴 냄비에 식초, 소금을 넣고 메추리알을 삶는다. 물이 끓어오르면 5분 정도 더 삶아 찬물에 헹군 후 껍질을 벗기고 반으로 자른다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00087_1.png,2. 딸기를 흐르는 물에 가볍게 씻어 꼭지를 제거한 후 물기를 빼고 반으로 자른다.,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00087_2.png,"3. 양상추는 찬물에 담갔다가 물기를 빼고 한입 크기로 찢은 후 접시에 양상추, 딸기, 블루베리, 메추리알을 담고 플레인요거트를 끼얹는다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00087_4.png,,,,,,,딸기는 칼륨이 풍부하여 나트륨 배출에 뛰어나지만 칼슘이 부족한 과일이예요. 그렇기 때문에 칼슘이 풍부한 요거트나 기타 유제품과 함께 섭취하면 좋아요.
시금치 우유 소스와 그린매쉬드포테이토,찌기,반찬,,155,32,5,1,24,,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00089_1.png,"그린매쉬드포테이토 : 감자 80g(1/2개), 시금치우유 소스 5g(1작은술), 아몬드 2g(1알), 설탕 2g(1/3작은술), 크랜베리 3g, 치커리 약간 시금치우유 소스 : 시금치 10g, 우유 10g(2작은술)",1. 시금치는 끓는 소금물에 데쳐 찬물에 헹구어 물기를 짜고 우유를 넣고 블렌더에 곱게 갈아 체에 거른다.,http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00089_1.png,"2. 껍질 벗긴 감자는 찜기에 넣어 20분 정도 삶고 꺼내서 으깨고, 아몬드는 잘게 다지며, 치커리는 곱게 다진다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00089_2.png,"3. 으깬 감자, 다진 치커리, 시금치 우유소스, 설탕을 넣고 섞어 접시에 담고 아몬드, 크랜베리를 올리고 시금치우유 소스를 곁들인다.",http://www.foodsafetykorea.go.kr/uploadimg/cook/20_00089_5.png,,,,,,,시금치에 풍부한 칼륨과 우유의 칼슘은 나트륨 배출을 도와줘요. 감자도 칼륨이 풍부한 채소이지만 감자에 부족한 칼슘을 유제품과 함께 섭취하면 칼슘을 보충 받을 수 있어요.
